AR0001*	U+09FC4[U]
KS019930*	~JA3592
KS019940*	~JA4631S
KS019950*	~IB1442
KS019960*	~JB1902
KS019970	U+205E5
KS019980	U+205E6
KS019990	U+051D0
KS020000*	~IA1020
KS020010	U+205E8
KS020020	U+205E9
KS020030*	~JB1903
KS020040*	~JB1904
KS020050*	~IA1021
KS020060*	~JB1905
KS020070*	~IP51D4
KS020080	U+205F2
KS020090	U+205F3
KS020100	U+205F4
KS020110*	~JB1906
KS020120	U+205F5
KS020130	U+205F6
KS020140*	~JA5037
KS020150*	~JA2008
KS020160*	~IB1443
KS020170	U+205FA
KS020180	U+205FB
KS020190	U+205FC
KS020200*	~IP51D7
KS020210	U+205FD
KS020220	U+205FE
KS020230	U+034D6
KS020240	U+205FF
KS020250	U+20600
KS020260	U+20601
KS020270*	~JB1907
KS020280*	~IA0136
KS020290	U+20604
KS020300	U+20605
KS020310	U+20606
KS020320	U+034D7
KS020330	U+20607
KS020340	U+2060A
KS020350	U+2060B
KS020360	U+2060C
KS020370*	~IP51D9
KS020380*	~IP51DA
KS020390*	~JA8405
KS020400*	~JA4959
KS020410	U+2060D
KS020420*	~JA2237
KS020430	U+051DE[23]
KS020440	U+20617
KS020450	U+20612
KS020460	U+20616
KS020470	U+20618
KS020480	U+250B3
KS020490	U+291DF
KS020500	U+2061D
KS020510	U+2061E
KS020520	U+2061F
KS020530	U+20621
KS020540	U+20623
KS020550	U+20624
KS020560	U+20625
KS020570	U+20626
KS020580*	~JA4960
KS020590*	~JD0318
KS020600*	~JA4362
KS020610*	~JC1456
KS020620	U+20629
KS020630	U+2062A
KS020640*	~IP51E4
KS020650*	~JB1910
KS020660*	~JA2972
KS020670	U+20631
KS020680	U+20632
KS020690	U+20633
KS020700*	~JA3492
KS020710	U+20636
KS020720	U+20635
KS020730	U+20637
KS020740	U+20638
KS020750	U+2063A
KS020760	U+2063B
KS020770*	~JA4962
KS020780*	~JA3868
KS020790	U+2063C
KS020800	U+2063D
KS020810	U+2063E
KS020820	U+20641
KS020830	U+20642
KS020840	U+20AE8
KS020850*	~IP51EC
KS020860*	~JA4963
KS020870	U+20646
KS020880	U+20647
KS020890	U+20648
KS020900	U+20649
KS020910	U+2064A
KS020920	U+2064B
KS020930	U+20AEE
KS020940	U+2064E
KS020950	U+221BB
KS020960*	~JC1457
KS020970	U+2151F
KS020980	U+2064F
KS020990	U+20650
KS021000	U+20651
KS021010	U+20652
KS021020	U+20654
KS021030	U+20655
KS021040*	~KS003890S
KS021050	JK-65132
KS021060*	~JA4964
KS021070	U+20658
KS021080*	~IA1023
KS021090	U+20659
KS021100	U+2065E
KS021110	U+2065A
KS021120*	~JA1914
KS021130	U+2065F
KS021140*	~JB1912
KS021150	U+20660
KS021160	U+20662
KS021170	U+20049
KS021180	U+20664
KS021190	U+2A7B5[U]
KS021200	U+20665
KS021210*	~JD0319
KS021220*	~JD0320
KS021230
KS021240	U+2066D
KS021250*	~JA4965
KS021260	U+20674
KS021270	U+20675
KS021280*	~JA2207
KS021290	U+20676
KS021300	U+20677
KS021310	U+20678
KS021320	U+051F6
KS021330*	~JB1915
KS021340	U+20679
KS021350*	~JA3844
KS021360*	~JA1790
KS021370*	~JA2948
KS021380	U+2067A
KS021390	U+2067B
KS021400	U+2067E
KS021410	U+2067F
KS021420	U+20680
KS021430	U+20681
KS021440	U+20686
KS021450	U+20684
KS021460	U+20683
KS021470	U+20685
KS021480*	~IA1024SS
KS021490	U+26953
KS021500*	~IA0225
KS021510	U+0342B
KS021520	U+20689
KS021530	U+2068A
KS021540*	~JA4001
KS021550	U+2068D
KS021560	U+2068C
KS021570	U+2068B
KS021580	U+051FD
KS021590*	~JA4966
KS021600	U+2068E
KS021610	U+2068F
KS021620	U+20692
KS021630	U+20696
KS021640	U+20697
KS021650	U+20698
KS021660
KS021670	U+20699
KS021680	U+2236D
KS021690	U+2069D
KS021700	U+2069E
KS021710	U+25390
KS021720	U+221D5
KS021730	U+2069F
KS021740	U+206A0
KS021750*	~JA3765
KS021760*	~JC1458
KS021770*	~JD0321
KS021780*	~IB0302
KS021790*	~FT2082
KS021800*	~JA3147
KS021810	U+206A3
KS021820	U+206A3
KS021830*	~JB1918
KS021840*	~JA4212
KS021850	U+206A5
KS021860	U+206A6
KS021870	U+206A7
KS021880	U+206A8
KS021890*	~JA3258
KS021900*	~JA2002
KS021910	U+206A9
KS021920	U+206AC
KS021930	U+206AA
KS021940
KS021950	U+206AB
KS021960*	~IP5209
KS021970*	~IA1025
KS021980*	~JA2009
KS021990*	~JA4968
KS022000	U+206AD
KS022010	U+206AE
KS022020	U+206AF
KS022030*	~IP520C
KS022040	U+206B0
KS022050	U+206B1
KS022060*	~JC1459
KS022070*	~IA0260
KS022080*	~IB0620
KS022090
KS022100
KS022110*	~JA4968
KS022120*	~JA4970
KS022130	U+206B7
KS022140	U+206B8
KS022150*	~IP520F
KS022160	U+206B9
KS022170	U+206BA
KS022180*	~IP5210
KS022190*	~JA2326
KS022200*	~IA0138
KS022210	U+206BB
KS022220*	~IA1026
KS022230	U+206C9
KS022240	U+206BC
KS022250	U+206BD
KS022260*	~JD0322
KS022270	U+206BE
KS022280*	~JC1460
KS022290	U+206BF
KS022300*	~JA4969
KS022310	U+206C0
KS022320*	~JC1461
KS022330*	~JD0323
KS022340*	~JA4683
KS022350	U+206C2
KS022360	U+206C1
KS022370	U+206C3
KS022380	U+206C4
KS022390	U+206CD
KS022400	U+206CA
KS022410*	~JB1923
KS022420	JK-65043
KS022430*	~IB0621
KS022440
KS022450	U+034DE
KS022460	U+034DE
KS022470*	~KS022230
KS022480	U+206CE
KS022490*	~IP521C
KS022500*	~JA2973
KS022510*	~IP521E
KS022520*	~IA1027
KS022530	U+206CF
KS022540	U+206D0
KS022550*	~IP521F
KS022560*	~JA4972
KS022570*	~IP5221
KS022580*	~JB1924
KS022590	U+206D1
KS022600	U+206D2
KS022610*	~IP5223
KS022620*	~JA4244
KS022630*	~JA4971S
KS022640*	~JB1925
KS022650*	~JA4588
KS022660*	~JA4029
KS022670	JK-65044
KS022680*	~JTAE15
KS022690	U+05224[20]
KS022700*	~IP522B
KS022710*	~IP5226
KS022720	U+206D7
KS022730	U+206D3
KS022740*	~IA1028
KS022750	U+206D4
KS022760	U+206D5
KS022770	U+206D6
KS022780	U+206D8
KS022790	U+206D9
KS022800	U+206DA
KS022810	U+206DB
KS022820	U+206E5
KS022830	U+206E6
KS022840	U+206E0
KS022850*	~JTAE16
KS022860
KS022870
KS022880*	~JA4973
KS022890*	~JA3794
KS022900*	~JB1926
KS022910*	~JB1927
KS022920*	~JA4974
KS022930*	~JB1928
KS022940*	~JA3209
KS022950*	~JA2694
KS022960*	~JA4975
KS022970*	~JA2741
KS022980*	~JA2579
KS022990	U+206F3
KS023000	U+20707
KS023010	U+206F1
KS023020	U+206F2
KS023030*	~IA1032
KS023040	U+206F5
KS023050	U+206F6
KS023060	U+206F7
KS023070	U+206F8
KS023080	U+206F9
KS023090	U+20706
KS023100	U+20708
KS023110	U+20704
KS023120	U+20703
KS023130	U+20709
KS023140	U+206FB
KS023150*	~JB1929S
KS023160	U+20702
KS023170*	~JA2384
KS023180
KS023190	U+206E7
KS023200	U+206E8
KS023210	U+206EA
KS023220	U+206EB
KS023230*	~IP522F
KS023240	U+206EC
KS023250*	~IA1029
KS023260	U+206ED
KS023270*	~IP5234
KS023280	U+206EE
KS023290*	~IA1030
KS023300	U+206EF
KS023310*	~IA1031
KS023320	U+206F0
KS023330*	~IB1454
KS023340	U+206F4
KS023350*	~JTAE19
KS023360	U+0523E
KS023370
KS023380
KS023390
KS023400*	~KS023080
KS023410*	~JA3670
KS023420*	~JA4977
KS023430*	~JB1930
KS023440*	~IP5246
KS023450	U+20710
KS023460*	~JA3407
KS023470	U+20711
KS023480*	~IP5248
KS023490	U+2071F
KS023500*	~JC1462
KS023510*	~JTAE1E
KS023520	U+20712
KS023530	U+20725
KS023540	U+20713
KS023550	U+20714
KS023560	U+20715
KS023570	U+20716
KS023580	U+20717
KS023590	U+20718
KS023600*	~JA4978
KS023610*	~JA4979
KS023620*	~JTAE1B
KS023630	U+20719
KS023640	U+2071A
KS023650*	~IA1033
KS023660*	~IA1034
KS023670*	~IA1035
KS023680	U+2071B
KS023690	U+2071C
KS023700	U+2071D
KS023710	U+2071E
KS023720*	~IA0139
KS023730*	~FT2083
KS023740	U+20728
KS023750*	~JA2679
KS023760*	~JA3316
KS023770	U+2A7C7[U]
KS023780	U+20720
KS023790*	~IP524E
KS023800*	~IB0622
KS023810
KS023820*	~IP5252
KS023830	U+20731
KS023840*	~IP5253
KS023850	U+20732
KS023860	U+20733
KS023870*	~JA4981S
KS023880	U+20734
KS023890*	~JD0325S
KS023900*	~JA4322
KS023910	U+20752
KS023920*	~JC1463
KS023930*	~JB1934
KS023940	U+20735
KS023950	U+20736
KS023960*	~IP5259
KS023970*	~JB1935
KS023980*	~JA2568
KS023990*	~IA0140
KS024000*	~JD0326
KS024010	U+20737
KS024020	U+20738
KS024030	U+20739
KS024040	U+2073A
KS024050*	~FT1901
KS024060	U+2073B
KS024070	U+2073C
KS024080*	~JA4980
KS024090*	~JB1937
KS024100	U+2073E
KS024110*	~JB1938
KS024120*	~JC1464
KS024130*	~IA1036
KS024140*	~IA1037
KS024150*	~IP5262
KS024160	U+20740
KS024170	U+20742
KS024180	U+20743
KS024190	U+20744
KS024200	U+20745
KS024210	U+2076A
KS024220	U+20758
KS024230	U+20759
KS024240	U+2075A
KS024250	U+2075B
KS024260	U+2075C
KS024270	U+20751
KS024280*	~JA2385
KS024290*	~JA2662
KS024300*	~JA3977S
KS024310*	~JB1940
KS024320	U+20741
KS024330
KS024340
KS024350*	~IA1038
KS024360	U+2075D
KS024370*	~IP5268
KS024380	U+2075E
KS024390*	~IA1039
KS024400	U+2075F
KS024410	U+20760
KS024420*	~IA0141
KS024430*	~IA1040
KS024440	U+20762
KS024450*	~IA1041
KS024460*	~JA4982
KS024470	U+20764
KS024480*	~IP526B
KS024490*	~JD0327
KS024500	U+20765
KS024510*	~JB1941
KS024520*	~IA1042
KS024530*	~IA1043
KS024540*	~JA4191
KS024550	U+20766
KS024560	U+20767
KS024570	U+20768
KS024580	U+20769
KS024590	U+2077D
KS024600	U+20772
KS024610	U+20773
KS024620	U+2077E
KS024630*	~JA3074
KS024640*	~JA4985
KS024650*	~FT2088
KS024660*	~JTAE22
KS024670*	~FT2088
KS024680	U+05268
KS024690	U+034F5
KS024700	U+034F6
KS024710*	~IP526D
KS024720*	~IA1044
KS024730*	~JA4984
KS024740	U+2077F
KS024750	U+20780
KS024760*	~JA1968
KS024770	U+05273[19]
KS024780*	~IA1045
KS024790	U+20781
KS024800*	~IA1046
KS024810	U+20782
KS024820*	~IA1047
KS024830	U+20783
KS024840	U+20784
KS024850	U+20785
KS024860*	~JA4983
KS024870	U+20786
KS024880*	~IB1460
KS024890	U+20787
KS024900	U+20788
KS024910*	~JA3347
KS024920	U+20789
KS024930	U+2078A
KS024940	U+2078B
KS024950	U+2078C
KS024960	U+2078D
KS024970	U+2078E
KS024980*	~IP5276
KS024990	U+20763
KS025000	U+207A3
KS025010	U+207A4
KS025020	U+20797
KS025030	U+20790
KS025040	U+2079D
KS025050S	U+05272[21]
KS025060*	~JTAE24S
KS025070
KS025080*	~JD0328
KS025090*	~IA1048
KS025100	U+207A5
KS025110	U+207A7
KS025120	U+207A6
KS025130*	~JB1943
KS025140*	~JB1944
KS025150*	~IA1049
KS025160	U+207A8
KS025170*	~IP527A
KS025180	U+207A9
KS025190	U+207AA
KS025200	U+207AB
KS025210	U+207AC
KS025220	U+207AD
KS025230*	~IP527B
KS025240*	~IP527C
KS025250*	~JA4987
KS025260	U+207AF
KS025270	U+0527E
KS025280	U+207B0
KS025290*	~JA4986
KS025300	U+207B1
KS025310	U+207BB
KS025320	U+207BC
KS025330	U+207BD
KS025340	U+207BE
KS025350	U+207BF
KS025360	U+207B7
KS025370	U+207B2
KS025380	U+207AE
KS025390	U+207C2
KS025400*	~IA1050
KS025410*	~IA0142S
KS025420*	~IA1051
KS025430*	~IA1052
KS025440*	~IA1053
KS025450	U+207C3
KS025460*	~JB1945
KS025470*	~IA1054
KS025480*	~IP5281
KS025490	U+207C4
KS025500	U+207C5
KS025510*	~IA1055
KS025520	U+207C6
KS025530*	~IA1056
KS025540	U+207C7
KS025550	U+207C8
KS025560*	~JD0330S
KS025570	U+207C9
KS025580*	~IA1057
KS025590*	~JA1936
KS025600	U+207CA
KS025610	U+207CB
KS025620	U+207CC
KS025630	U+207CD
KS025640	U+207CE
KS025650	U+207CF
KS025660	U+207D0
KS025670	U+207D1
KS025680	U+207DF
KS025690	U+207D2
KS025700	U+207D3
KS025710	U+207D4
KS025720	U+207D5
KS025730	U+207D6
KS025740	U+207D7
KS025750	U+207D8
KS025760	U+05289
KS025770	U+207E6
KS025780*	~JB1947
KS025790	U+207E8
KS025800*	~IP5286
KS025810	U+207E9
KS025820	U+207EA
KS025830*	~JA2364
KS025840	U+207F5
KS025850	U+207EB
KS025860*	~IA1058
KS025870	U+207EC
KS025880*	~JA4992
KS025890	U+05289[19]
KS025900*	~JB1948
KS025910*	~IP528B
KS025920*	~JB1949
KS025930*	~JA4988
KS025940*	~IP528E
KS025950	U+207ED
KS025960	U+207EE
KS025970	U+207EF
KS025980	U+207F0
KS025990	U+207F1
KS026000*	~JA4613
KS026010	U+207E7
KS026020*	~JD0331
KS026030	U+207FA
KS026040*	~IA1059
KS026050	U+05290
KS026060*	~IA1060
KS026070*	~IA1061
KS026080	U+207FB
KS026090*	~JA4993S
KS026100	U+207FC
KS026110*	~JA4990
KS026120	U+20806
KS026130*	~FT2086
KS026140	U+207FD
KS026150	U+207FE
KS026160	U+207FF
KS026170*	~JC1465
KS026180	U+20800
KS026190	U+20801
KS026200	U+20802
KS026210	U+20803
KS026220	U+20804
KS026230	U+20805
KS026240	U+20807[19]
KS026250*	~FT2087
KS026260	U+20817
KS026270	U+2080D
KS026280	U+2080E
KS026290*	~JB1951
KS026300	U+2080F
KS026310	U+20810
KS026320*	~IA1062
KS026330	U+2081E
KS026340
KS026350	U+2081B
KS026360	U+2081C
KS026370	U+2081D
KS026380*	~IA1063
KS026390	U+03511
KS026400	U+20821
KS026410	U+20822
KS026420*	~JB1952
KS026430	U+20823
KS026440*	~IA1066
KS026450	U+20826
KS026460	U+20827
KS026470	U+2082A
KS026480*	~JB1953
KS026490	U+2082B
KS026500*	~JD0332
KS026510*	~JTAE2F
KS026520	U+2082E
KS026530*	~IP5299
KS026540*	~JB1955
KS026550	U+2082F
KS026560	U+20830
KS026570	U+20831
KS026580*	~JA4647
KS026590*	~JB1956
KS026600	U+20832
KS026610	JK-65047
KS026620*	~IP529D
KS026630*	~IP529E
KS026640*	~IB1465
KS026650*	~JTAE30
KS026660
KS026670*	~JA2489
KS026680	U+20836
KS026690*	~JA1835
KS026700*	~IA0143
KS026710	U+0361E
KS026720	U+20837
KS026730	U+201AE
KS026740*	~IB0620
KS026750*	~JA4684
KS026760	U+20839
KS026770*	~JD0334
KS026780*	~IA0144
KS026790*	~JB1958
KS026800*	~JD0335
KS026810*	~IP6530
KS026820*	~JB1960
KS026830	U+20840
KS026840S	JK-65048
KS026850*	~IA0145
KS026860	U+20842
KS026870*	~JA2985
KS026880*	~JA3756
KS026890	U+20843
KS026900*	~JA2569
KS026910*	~JA5002
KS026920*	~JA5003
KS026930*	~IP52AE
KS026940	U+20844
KS026950*	~JD0336
KS026960*	~JB1962
KS026970	U+2084B
KS026980*	~JA4669
KS026990*	~IP52B2
KS027000*	~IP52B3
KS027010*	~JA4711
KS027020*	~IA6701
KS027030	U+2A7D7[U]
KS027040	U+20841
KS027050	U+052A9
KS027060*	~JA5005
KS027070*	~JB1963
KS027080*	~JB1964
KS027090*	~JB1965
KS027100*	~JA2490
KS027110*	~JD0337
KS027120*	~JD0338
KS027130*	~IA1067
KS027140*	~JA5004
KS027150*	~JB1968
KS027160	U+20851
KS027170	U+20852
KS027180*	~JA1915
KS027190	U+20853
KS027200	U+20854
KS027210	U+20855
KS027220	U+052BF
KS027230*	~JTAE33
KS027240S
KS027250*	~JB1969
KS027260*	~JA5006
KS027270*	~IP52C2
KS027280*	~JA4354
KS027290	U+0351C
KS027300*	~JB1970
KS027310*	~JA3628
KS027320	U+2085E
KS027330*	~IB1473
KS027340	U+20860
KS027350	U+20861
KS027360*	~JB1971
KS027370*	~JTAE37
KS027380*	~JA4506
KS027390*	~JC1466
KS027400*	~JC1467
KS027410	U+20863
KS027420	U+20865
KS027430	U+20864
KS027440*	~JD0339
KS027450	U+20866
KS027460	JK-65050
KS027470	U+2AA0E[U]
KS027480
KS027490
KS027500*	~JC1468
KS027510	U+2086B
KS027520	U+2086C
KS027530	U+2086D
KS027540*	~JA5007
KS027550*	~IP52CE
KS027560*	~IB1475
KS027570	U+20878
KS027580	U+2086F
KS027590*	~JB1974
KS027600*	~IA1068
KS027610	U+20870
KS027620*	~JC1469
KS027630*	~JD0341
KS027640	U+20871
KS027650	U+20879
KS027660	U+20876
KS027670	U+20877
KS027680*	~JA4257
KS027690	U+2086E
KS027700*	~JD0340
KS027710
KS027720*	~IA1069
KS027730*	~JA8053
KS027740*	~IP52D3
KS027750*	~JB1976
KS027760	U+2087B
KS027770*	~JA3816
KS027780*	~JC1470
KS027790	U+052D7[20]
KS027800*	~JA2010
KS027810*	~JA4419
KS027820*	~JTAE43
KS027830	U+2087D
KS027840	U+2087F
KS027850	U+20883
KS027860*	~JA5008
KS027870	U+2087E
KS027880*	~IB0303
KS027890*	~JTAE3C
KS027900
KS027910*	~JC1471
KS027920	U+20886
KS027930*	~IA1070
KS027940	U+20892
KS027950	U+20887
KS027960*	~JB1979
KS027970*	~JTAE44
KS027980*	~JA5009
KS027990	U+20888
KS028000	U+20889
KS028010	U+2088C
KS028020	U+2088F
KS028030	U+2088E
KS028040*	~JA2248
KS028050*	~JA3001
KS028060*	~JA4271
KS028070
KS028080	U+20885
KS028090*	~IB2046
KS028100	U+052DF[19]
KS028110	U+20893
KS028120*	~JA5013
KS028130	U+20894
KS028140	U+20895
KS028150*	~JB1980
KS028160*	~JA3210
KS028170*	~JA5010
KS028180*	~JC1472
KS028190*	~JB1981
KS028200*	~JA5011S
KS028210	U+20896
KS028220	U+20897
KS028230	U+208AA
KS028240	U+2089B
KS028250	U+20899
KS028260	U+2089A
KS028270*	~JA2011
KS028280*	~JTAE48
KS028290	U+208A0
KS028300	U+208A1
KS028310	U+208A2
KS028320	U+208A3
KS028330*	~JB1982
KS028340	U+208A4
KS028350	U+208AD
KS028360*	~JB1983
KS028370*	~JB1984
KS028380*	~IP52EB
KS028390	U+208A5
KS028400*	~JB1985
KS028410*	~IP52ED
KS028420	U+208A6
KS028430	U+208AE
KS028440	U+208AF
KS028450	U+208A9
KS028460*	~JB1987
KS028470
KS028480	U+208A7
KS028490
KS028500
KS028510	U+208B0
KS028520*	~IP52EE
KS028530*	~IP52EF
KS028540	U+208B1
KS028550	U+208B5
KS028560*	~JC1473
KS028570*	~JTAE4F
KS028580	U+208B2
KS028590	U+208B3
KS028600	U+208B4
KS028610*	~JA2314
KS028620	JK-65052
KS028630	U+208B6
KS028640*	~JA5014
KS028650	U+208B7
KS028660*	~JA5015
KS028670*	~JB1988
KS028680*	~IA1072
KS028690	U+208BF
KS028700*	~IB1486
KS028710*	~IA1073
KS028720	U+052F5[19]
KS028730*	~JD0342
KS028740*	~IA0149
KS028750*	~JB1989
KS028760	U+208BA
KS028770	U+208BB
KS028780	U+208BC
KS028790	U+208BE
KS028800*	~IA1074
KS028810	U+208C0
KS028820	U+208C3
KS028830	U+208C1
KS028840	U+208C4
KS028850*	~JD0343S
KS028860*	~JA5016
KS028870	U+052F8[19]
KS028880	U+208C6
KS028890	U+208C7
KS028900	U+208C8
KS028910	U+208C9
KS028920	U+208CA
KS028930	JK-65053
KS028940	U+208CB
KS028950*	~JA5017
KS028960*	~JTAE53
KS028970*	~JA2859
KS028980*	~JC1474
KS028990*	~JC1475
KS029000*	~IP52FC
KS029010*	~IP52FD
KS029020*	~JA2491
KS029030*	~JA4462
KS029040*	~JA4472
KS029050*	~JA3887
KS029060*	~JB1992
KS029070*	~IP5304
KS029080*	~IB1488
KS029090*	~JA4281
KS029100	U+208CD
KS029110	U+208CE
KS029120	U+208CF
KS029130	U+208D0
KS029140*	~JTAE55
KS029150*	~JA5018
KS029160
KS029170
KS029180	U+05304
KS029190*	~JA5019
KS029200	U+208D1
KS029210	U+208D2
KS029220	U+05308
KS029230*	~IP5309
KS029240	U+208D4
KS029250	U+208D6
KS029260	U+208D5
KS029270	U+208D8
KS029280	U+208D9
KS029290	U+208DA
KS029300*	~JD0344
KS029310*	~JD0345
KS029320*	~JB2001
KS029330
KS029340
KS029350
KS029360*	~JA5021
KS029370	U+208DF
KS029380	U+208E0
KS029390	U+208E1
KS029400	U+208E3
KS029410*	~IP530E
KS029420	U+208E4
KS029430	U+208E5
KS029440	U+208E6
KS029450	U+208E7
KS029460	U+208E8
KS029470	U+208E9
KS029480	U+208EA
KS029490	U+208EB
KS029500	U+208E5
KS029510	U+208EF
KS029520	U+208F0
KS029530*	~JA5023
KS029540*	~JA5022
KS029550*	~IA1075
KS029560	U+208F1
KS029570	U+208F4
KS029580*	~JB2002
KS029590*	~IA1076
KS029600	U+208F5
KS029610	U+05312
KS029620*	~FT2036
KS029630	U+208F8
KS029640*	~IA1077
KS029650*	~JB2003
KS029660S	U+208FA
KS029670	U+208FD
KS029680	U+208FE
KS029690	U+208FF
KS029700	U+20900
KS029710	U+20904
KS029720*	~IP5314
KS029730	U+20905
KS029740	U+20907
KS029750	U+20908
KS029760	U+20909
KS029770	U+2090A
KS029780	U+2090B
KS029790*	~JA5024
KS029800*	~FT1680
KS029810*	~JA1829
KS029820*	~IB1490
KS029830*	~JA4344
KS029840	U+20910
KS029850*	~JA4344
KS029860*	~IB0624
KS029870
KS029880	U+20911
KS029890	U+20915
KS029900	U+20913
KS029910	U+20914
KS029920	U+20912
KS029930*	~IA0151
KS029940
KS029950	U+20917
KS029960	U+20918
KS029970	U+20919
KS029980	U+2091A
KS029990	U+2091D
KS030000	U+2091B
KS030010	U+2091C
KS030020
KS030030	U+2091E
KS030040	U+2091F
KS030050*	~JB2004
KS030060*	~JA2692
KS030070*	~IA1078
KS030080	U+20923
KS030090	U+20925
KS030100	U+2092A
KS030110*	~JA5025
KS030120	U+2092C
KS030130*	~JA5030
KS030140	U+20504
KS030150S	U+05339[20]
KS030160*	~JA2272
KS030170*	~JA4104
KS030180*	~JB2005
KS030190*	~JC1477
KS030200*	~JA3357
KS030210*	~JB2007
KS030220	U+2092E
KS030230	U+2092F
KS030240*	~JB2008
KS030250	U+20930
KS030260*	~JA3002
KS030270*	~JA2209
KS030280	U+20931
KS030290*	~IP5322
KS030300S	U+2096E
KS030310S	U+2096F
KS030320S	U+20932
KS030330	U+20933
KS030340*	~JA5026
KS030350*	~IA1079
KS030360	U+20934
KS030370*	~JD0346
KS030380*	~JB2009
KS030390	U+20935
KS030400S	U+03537
KS030410S	U+20970
KS030420*	~JA1669
KS030430S	U+20971
KS030440	U+03530
KS030450S	U+20943
KS030460
KS030470	U+0533B[19]
KS030480	U+20938
KS030490	U+20939
KS030500	U+2093A
KS030510*	~JB2019
KS030520*	~IB1503
KS030530	U+2093C
KS030540*	~JB2010
KS030550	U+2093E
KS030560	U+2093F
KS030570*	~JB2011
KS030580*	~JB2012
KS030590	U+20941
KS030600	U+20942
KS030610	U+20944
KS030620S	U+20974
KS030630S	U+20975
KS030640	U+20940
KS030650*	~JB2020
KS030660*	~JB2020
KS030670*	~JA4059S
KS030680	U+20949
KS030690*	~JB2013
KS030700	U+2094A
KS030710	U+2094B
KS030720*	~IA1082
KS030730*	~JA3831
KS030740	U+2094C
KS030750	U+20953
KS030760*	~IA0153
KS030770*	~JB2014
KS030780*	~JB2015
KS030790*	~JD0348
KS030800	U+0533F[20]
KS030810*	~JA5031
KS030820	U+2094E
KS030830
KS030840	U+0533E[19]
KS030850	U+05340[20]
KS030860	U+0532C
KS030870	U+20950
KS030880	U+20951
KS030890	U+20952
KS030900S	U+03538
KS030910*	~IA0154
KS030920*	~JA5027
KS030930	U+20956
KS030940	U+20958
KS030950*	~IA0155
KS030960	U+03534
KS030970	U+20959
KS030980*	~IA0156
KS030990*	~JB2016
KS031000*	~JA5028
KS031010*	~JB2017
KS031020	U+2095A
KS031030	U+2095B
KS031040*	~JA5029
KS031050	U+2095C
KS031060	U+2095D
KS031070	U+2095E
KS031080*	~IP5334
KS031090	U+20962
KS031100	U+20963
KS031110*	~JD0347
KS031120	U+20969
KS031130S	U+20966
KS031140	U+05336
KS031150*	~IP5337
KS031160	U+20968
KS031170	U+2096A
KS031180S	U+20978
KS031190	U+05336
KS031200S	U+2097A
KS031210	U+2096B
KS031220*	~IA1080
KS031230	U+2096C
KS031240*	~JA2929
KS031250*	~JD0349
KS031260*	~JA3273
KS031270*	~IP5344
KS031280*	~IA1083
KS031290*	~JA5033
KS031300*	~JA5032
KS031310*	~JA3003
KS031320*	~JA2465
KS031330	U+2097B
KS031340	U+2097F
KS031350*	~JD0350
KS031360	U+05344
KS031370*	~JA5035
KS031380*	~JTAE62
KS031390	U+2097D
KS031400	U+2097E
KS031410	U+201B1
KS031420*	~IB1507
KS031430*	~JB2023
KS031440*	~JA4030
KS031450*	~IA0202
KS031460	U+0353A
KS031470*	~IB0604
KS031480*	~JB2024
KS031490	U+20994
KS031500*	~IA1084
KS031510	U+20982
KS031520	U+2098C
KS031530	U+20983
KS031540*	~HG1610
KS031550	U+20985
KS031560	U+20986
KS031570	U+20987
KS031580*	~JA5036
KS031590	U+20988
KS031600	U+2098E
KS031610	U+2098A
KS031620	U+2098F
KS031630	U+20990
KS031640	U+2098B
KS031650	U+2098D
KS031660	U+05350
KS031670*	~JTAFB9
KS031680	U+05345
KS031690	U+24C1E
KS031700	U+20992
KS031710	U+20995
KS031720	U+20993
KS031730	U+20997
KS031740	U+20991
KS031750*	~JTAE65
KS031760	U+24C1E
KS031770	U+20998
KS031780*	~JC1478
KS031790	U+24C1E
KS031800*	~JA3420
KS031810*	~JA3478
KS031820*	~JA2208
KS031830*	~IB0626
KS031840	U+20999
KS031850	U+2099A
KS031860	U+2099B
KS031870	U+2099C
KS031880	U+05352
KS031890	U+23965
KS031900*	~JA3878
KS031910
KS031920*	~JA3517
KS031930*	~JA4060
KS031940*	~JTC0E5
KS031950S	U+05C2D
KS031960	U+209A3
KS031970	U+209A7
KS031980	U+209A8
KS031990	U+209A4
KS032000	U+2A716[U]
KS032010*	~JB2025
KS032020	U+209AA
KS032030	U+209AB
KS032040	U+209AC
KS032050	JK-65055
KS032060*	~JTAE73
KS032070*	~JA3978
KS032080*	~IA0158
KS032090	U+209B4
KS032100	U+209B5
KS032110	U+209B6
KS032120	U+209B8
KS032130	U+2A7F7[U]
KS032140	U+209C0
KS032150
KS032160
KS032170	U+209C8
KS032180	U+209CE
KS032190	U+209CF
KS032200*	~JB2026
KS032210	U+209D1
KS032220*	~JA4346
KS032230	U+209D2
KS032240*	~IP535D
KS032250*	~JA5038
KS032260	U+0535E[19]
KS032270*	~IP535F
KS032280*	~JA3274
KS032290*	~JC1479
KS032300	U+209D3
KS032310	U+209D8
KS032320	U+209D6
KS032330
KS032340	U+209D5
KS032350	U+209D9
KS032360	U+209DA
KS032370*	~JC1480
KS032380	U+209DB
KS032390	U+209DC
KS032400*	~IP5364
KS032410	U+2194B
KS032420*	~JB2029
KS032430	U+209DE
KS032440*	~JA2321
KS032450	U+209DF
KS032460	U+209E0
KS032470	U+209E1
KS032480	U+209E2
